Lat	Long	Year	Month	Day	Depth	Temp	Salinity	Oxygen	pH
29.072	-90.1879	1998	7	22	0	25.691	NA	NA	NA
29.0277	-90.122	1998	7	22	0	25.041	NA	NA	NA
28.9769	-90.0768	1998	7	22	0	25.135	NA	NA	NA
28.9246	-90.0308	1998	7	22	0	25.44	NA	NA	NA
28.8331	-89.9997	1998	7	22	0	26.163	NA	NA	NA
28.6919	-90.1362	1998	7	22	0	24.263	NA	NA	NA
28.7193	-90.1657	1998	7	22	0	24.837	NA	NA	NA
28.7579	-90.2327	1998	7	22	0	23.116	NA	NA	NA
28.7875	-90.2756	1998	7	22	0	21.878	NA	NA	NA
28.8318	-90.392	1998	7	22	0	22.883	NA	NA	NA
28.8496	-90.4414	1998	7	22	0	24.106	NA	NA	NA
28.8689	-90.4668	1998	7	22	0	24.36	NA	NA	NA
28.9122	-90.4881	1998	7	22	0	24.289	NA	NA	NA
28.9493	-90.5228	1998	7	22	0	24.391	NA	NA	NA
28.9898	-90.5207	1998	7	22	0	24.253	NA	NA	NA
29.056	-90.5322	1998	7	22	0	24.402	NA	NA	NA
28.775	-90.528	1998	7	22	0	22.719	NA	NA	NA
28.7168	-90.529	1998	7	22	0	21.422	NA	NA	NA
28.6418	-90.5328	1998	7	22	0	22.457	NA	NA	NA
28.5701	-90.547	1998	7	23	0	25.856	NA	NA	NA
28.4069	-90.5591	1998	7	23	0	26.321	NA	NA	NA
28.3911	-90.833	1998	7	23	0	26.908	NA	NA	NA
28.4991	-90.8329	1998	7	23	0	26.408	NA	NA	NA
28.6081	-90.8332	1998	7	23	0	27.321	NA	NA	NA
28.7171	-90.8332	1998	7	23	0	26.37	NA	NA	NA
28.8423	-90.8312	1998	7	23	0	23.914	NA	NA	NA
28.9394	-90.8317	1998	7	23	0	23.841	NA	NA	NA
28.983	-90.8329	1998	7	23	0	25.653	NA	NA	NA
28.9668	-91.2502	1998	7	23	0	25.024	NA	NA	NA
